SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,MasVnrArea,Fireplaces,MSZoning,Neighborhood,Condition2,MasVnrType,ExterQual,BsmtQual,CentralAir,Electrical,KitchenQual,SaleType
208500,7,1710,2,856,2,2003,2003,196.0,0,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
181500,6,1262,2,1262,2,1976,1976,0.0,1,RL,Veenker,Norm,None,TA,Gd,Y,SBrkr,TA,WD
223500,7,1786,2,920,2,2001,2002,162.0,1,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
140000,7,1717,3,756,1,1915,1970,0.0,1,RL,Crawfor,Norm,None,TA,TA,Y,SBrkr,Gd,WD
143000,5,1362,2,796,1,1993,1995,0.0,0,RL,Mitchel,Norm,None,TA,Gd,Y,SBrkr,TA,WD
307000,8,1694,2,1686,2,2004,2005,186.0,1,RL,Somerst,Norm,Stone,Gd,Ex,Y,SBrkr,Gd,WD
200000,7,2090,2,1107,2,1973,1973,240.0,2,RL,NWAmes,Norm,Stone,TA,Gd,Y,SBrkr,TA,WD
129900,7,1774,2,952,2,1931,1950,0.0,2,RM,OldTown,Norm,None,TA,TA,Y,FuseF,TA,WD
118000,5,1077,1,991,1,1939,1950,0.0,2,RL,BrkSide,Artery,None,TA,TA,Y,SBrkr,TA,WD
129500,5,1040,1,1040,1,1965,1965,0.0,0,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
144000,5,912,1,912,1,1962,1962,0.0,0,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,TA,WD
279500,7,1494,3,1494,2,2006,2007,306.0,1,RL,CollgCr,Norm,Stone,Gd,Gd,Y,SBrkr,Gd,New
157000,6,1253,1,1253,1,1960,1960,212.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
132000,7,854,2,832,1,1929,2001,0.0,0,RM,BrkSide,Norm,None,TA,TA,Y,FuseA,TA,WD
149000,6,1004,2,1004,1,1970,1970,180.0,1,RL,NAmes,Norm,BrkFace,TA,TA,Y,SBrkr,TA,WD
159000,5,1114,2,1114,1,2004,2004,0.0,0,RL,SawyerW,Norm,None,TA,TA,Y,SBrkr,Gd,WD
139000,5,1339,1,1029,1,1958,1965,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,TA,COD
139400,7,1108,1,637,1,1930,1950,0.0,1,RM,IDOTRR,Norm,None,TA,TA,Y,FuseF,Gd,WD
230000,8,1795,2,1777,2,2002,2002,281.0,1,RL,CollgCr,Norm,BrkFace,Gd,Gd,Y,SBrkr,Gd,WD
129900,5,1060,2,1040,1,1976,1976,0.0,1,RM,MeadowV,Norm,None,TA,Gd,Y,SBrkr,TA,WD
154000,5,1060,1,1060,1,1968,2001,0.0,1,RL,Sawyer,Norm,None,TA,TA,Y,SBrkr,Gd,WD
134800,5,900,2,900,1,1951,2000,0.0,0,RL,NAmes,Norm,None,TA,TA,Y,SBrkr,Gd,WD
